collection_name	track_name	artist_name	track_number	release_date	apple_collection_view_url	apple_track_view_url	youtube_collection_name	youtube_track_name	youtube_collection_view_url	youtube_track_view_url
東方ホムーラン	BORDER OF え…?	COOL&CREATE	1	2005-05-04 12:00:00 UTC	https://music.apple.com/jp/album/toho-homu-ran/1492786623?uo=4	https://music.apple.com/jp/album/border-of-%E3%81%88/1492786623?i=1492786624&uo=4	東方ストライク	BORDER OF STRIKE!	https://music.youtube.com/browse/MPREb_ME8BAzfVj9L	https://music.youtube.com/watch?v=d2egUyIpI4E
幺樂団の歴史3 Akyu's Untouched Score vol.3	She's in a temper!!	ZUN	3	2006-12-31 12:00:00 UTC	https://music.apple.com/jp/album/yogakudannorekishi3/1438613695?uo=4	https://music.apple.com/jp/album/shes-in-a-temper/1438613695?i=1438613698&uo=4	幺樂団の歴史3 Akyu's Untouched Score vol.3	She's in a temper!!	https://music.youtube.com/browse/MPREb_OYnnzIpa3IL	https://music.youtube.com/watch?v=iipspfakGjU
幺樂団の歴史4 Akyu's Untouched Score vol.4	Reincarnation	ZUN	4	2007-12-31 12:00:00 UTC	https://music.apple.com/jp/album/akyus-untouched-score-vol-4/1437763617?uo=4	https://music.apple.com/jp/album/reincarnation/1437763617?i=1437763621&uo=4	不明	不明	不明	不明
感情ケミストリー - Single (feat. senya) - Single	感情ケミストリー(with senya)	幽閉サテライト	1	2010-08-14 12:00:00 UTC	https://music.apple.com/jp/album/kanjou-chemistry-feat-senya-single/1456066614?uo=4	https://music.apple.com/jp/album/%E6%84%9F%E6%83%85%E3%82%B1%E3%83%9F%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC-with-senya/1456066614?i=1456066615&uo=4	感情ケミストリー	感情ケミストリー(with senya)	https://music.youtube.com/browse/MPREb_491vhDVSOrJ	https://music.youtube.com/watch?v=djMZL8pUz3Q
感情ケミストリー - Single (feat. senya) - Single	ダフネ幻想歌 -Solo Version-(with senya)	幽閉サテライト	2	2010-08-14 12:00:00 UTC	https://music.apple.com/jp/album/kanjou-chemistry-feat-senya-single/1456066614?uo=4	https://music.apple.com/jp/album/%E3%83%80%E3%83%95%E3%83%8D%E5%B9%BB%E6%83%B3%E6%AD%8C-solo-version-with-senya/1456066614?i=1456066676&uo=4	感情ケミストリー	ダフネ幻想歌 -Solo Version-(with senya)	https://music.youtube.com/browse/MPREb_491vhDVSOrJ	https://music.youtube.com/watch?v=lrUMIFVe_A4
感情ケミストリー - Single (feat. senya) - Single	零れ桜(with senya)	幽閉サテライト	3	2010-08-14 12:00:00 UTC	https://music.apple.com/jp/album/kanjou-chemistry-feat-senya-single/1456066614?uo=4	https://music.apple.com/jp/album/%E9%9B%B6%E3%82%8C%E6%A1%9C-with-senya/1456066614?i=1456066677&uo=4	感情ケミストリー	零れ桜(with senya)	https://music.youtube.com/browse/MPREb_491vhDVSOrJ	https://music.youtube.com/watch?v=u6CmlcLV3ws
メビウス - Single (with senya) - Single	メビウス(with senya)	幽閉サテライト	1	2012-03-11 12:00:00 UTC	https://music.apple.com/jp/album/mobius-single-with-senya-single/1456067140?uo=4	https://music.apple.com/jp/album/%E3%83%A1%E3%83%93%E3%82%A6%E3%82%B9-with-senya/1456067140?i=1456067141&uo=4	メビウス	メビウス(with senya)	https://music.youtube.com/browse/MPREb_jbsQUKIFkmN	https://music.youtube.com/watch?v=xfYMGCtMltE
メビウス - Single (with senya) - Single	メビウス(with senya)	幽閉サテライト	2	2012-03-11 12:00:00 UTC	https://music.apple.com/jp/album/mobius-single-with-senya-single/1456067140?uo=4	https://music.apple.com/jp/album/%E3%83%A1%E3%83%93%E3%82%A6%E3%82%B9-with-senya-instrumental/1456067140?i=1456067142&uo=4	メビウス	メビウス(with senya)	https://music.youtube.com/browse/MPREb_jbsQUKIFkmN	https://music.youtube.com/watch?v=xfYMGCtMltE
東方うたうちれいでん (KARAOKE Ver)	有頂天マゾヒスティック(KARAOKE Ver)	IOSYS	1	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E6%9C%89%E9%A0%82%E5%A4%A9%E3%83%9E%E3%82%BE%E3%83%92%E3%82%B9%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF-karaoke-ver/1437878423?i=1437878429&uo=4	東方うたうちれいでん	有頂天マゾヒスティック(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=8c977LEx-XA
東方うたうちれいでん (KARAOKE Ver)	ハートフルネコロマンサー(KARAOKE Ver)	IOSYS	2	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E3%83%8F%E3%83%BC%E3%83%88%E3%83%95%E3%83%AB%E3%83%8D%E3%82%B3%E3%83%AD%E3%83%9E%E3%83%B3%E3%82%B5%E3%83%BC-karaoke-ver/1437878423?i=1437878430&uo=4	東方うたうちれいでん	ハートフルネコロマンサー(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=Zq7t1IcTjEI
東方うたうちれいでん (KARAOKE Ver)	大江山ジャイアントスイング(KARAOKE Ver)	IOSYS	3	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E5%A4%A7%E6%B1%9F%E5%B1%B1%E3%82%B8%E3%83%A3%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%82%B9%E3%82%A4%E3%83%B3%E3%82%B0-karaoke-ver/1437878423?i=1437878431&uo=4	東方うたうちれいでん	大江山ジャイアントスイング(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=eizi3xK5Ykc
東方うたうちれいでん (KARAOKE Ver)	究極焼肉レストラン!お燐の地獄亭!(KARAOKE Ver)	IOSYS	4	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E7%A9%B6%E6%A5%B5%E7%84%BC%E8%82%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-%E3%81%8A%E7%87%90%E3%81%AE%E5%9C%B0%E7%8D%84%E4%BA%AD-karaoke-ver/1437878423?i=1437878432&uo=4	東方うたうちれいでん	究極焼肉レストラン!お燐の地獄亭!(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=_HhTYMkpDWs
東方うたうちれいでん (KARAOKE Ver)	お人形遊び(KARAOKE Ver)	IOSYS	5	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E3%81%8A%E4%BA%BA%E5%BD%A2%E9%81%8A%E3%81%B3-karaoke-ver/1437878423?i=1437878433&uo=4	東方うたうちれいでん	お人形遊び(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=46WMLhq9YAA
東方うたうちれいでん (KARAOKE Ver)	お空のニュークリアフュージョン道場(KARAOKE Ver)	IOSYS	6	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E3%81%8A%E7%A9%BA%E3%81%AE%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AF%E3%83%AA%E3%82%A2%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%B3%E9%81%93%E5%A0%B4-karaoke-ver/1437878423?i=1437878434&uo=4	東方うたうちれいでん	お空のニュークリアフュージョン道場(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=-70i0cM1EeQ
東方うたうちれいでん (KARAOKE Ver)	こんなにかわいいスカーレッツが私のお嬢様なはずがない(KARAOKE Ver)	IOSYS	7	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E3%81%93%E3%82%93%E3%81%AA%E3%81%AB%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84%E3%82%B9%E3%82%AB%E3%83%BC%E3%83%AC%E3%83%83%E3%83%84%E3%81%8C%E7%A7%81%E3%81%AE%E3%81%8A%E5%AC%A2%E6%A7%98%E3%81%AA%E3%81%AF%E3%81%9A%E3%81%8C%E3%81%AA%E3%81%84-karaoke-ver/1437878423?i=1437878435&uo=4	東方うたうちれいでん	こんなにかわいいスカーレッツが私のお嬢様なはずがない(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=voz9nuEwYEg
東方うたうちれいでん (KARAOKE Ver)	ジンゴー!ジンゴー!(KARAOKE Ver)	IOSYS	8	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E3%82%B8%E3%83%B3%E3%82%B4%E3%83%BC-%E3%82%B8%E3%83%B3%E3%82%B4%E3%83%BC-karaoke-ver/1437878423?i=1437878436&uo=4	東方うたうちれいでん	ジンゴー!ジンゴー!(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=2e-uCN6oUWA
東方うたうちれいでん (KARAOKE Ver)	midnight lightning bolt(KARAOKE Ver)	IOSYS	9	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/midnight-lightning-bolt-karaoke-ver/1437878423?i=1437878437&uo=4	東方うたうちれいでん	midnight lightning bolt(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=7C0T8Ys1dyw
東方うたうちれいでん (KARAOKE Ver)	紫雨UNITED まさかのアリス突撃編(KARAOKE Ver)	IOSYS	10	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E7%B4%AB%E9%9B%A8united-%E3%81%BE%E3%81%95%E3%81%8B%E3%81%AE%E3%82%A2%E3%83%AA%E3%82%B9%E7%AA%81%E6%92%83%E7%B7%A8-karaoke-ver/1437878423?i=1437878438&uo=4	東方うたうちれいでん	紫雨UNITED まさかのアリス突撃編(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=FpaM_XDA-p4
東方うたうちれいでん (KARAOKE Ver)	はたてのバッコイ殺人事件(KARAOKE Ver)	IOSYS	11	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E3%81%AF%E3%81%9F%E3%81%A6%E3%81%AE%E3%83%90%E3%83%83%E3%82%B3%E3%82%A4%E6%AE%BA%E4%BA%BA%E4%BA%8B%E4%BB%B6-karaoke-ver/1437878423?i=1437878439&uo=4	東方うたうちれいでん	はたてのバッコイ殺人事件(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=Uwue638cF0c
東方うたうちれいでん (KARAOKE Ver)	信撃リザレクション(KARAOKE Ver)	IOSYS	12	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E4%BF%A1%E6%92%83%E3%83%AA%E3%82%B6%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3-karaoke-ver/1437878423?i=1437878440&uo=4	東方うたうちれいでん	信撃リザレクション(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=NoM5H1e-4uQ
