collection_name	track_name	artist_name	track_number	release_date	apple_collection_view_url	apple_track_view_url	youtube_collection_name	youtube_track_name	youtube_collection_view_url	youtube_track_view_url
壱肆壱		梶迫小道具店					壱肆壱		https://music.youtube.com/browse/MPREb_a91p1geG2Us	https://music.youtube.com/watch?v=
Indoor Tribe		梶迫小道具店					Indoor Tribe		https://music.youtube.com/browse/MPREb_ZCm1XHAB3Zq	https://music.youtube.com/watch?v=
ICONOCLASM		梶迫小道具店					ICONOCLASM		https://music.youtube.com/browse/MPREb_HPCBDNd345L	https://music.youtube.com/watch?v=
Where I Fall in Love		ACCORD ON CODES					Where I Fall in Love		https://music.youtube.com/browse/MPREb_adpAwOcC1WH	https://music.youtube.com/watch?v=
A Modern Ghost		ACCORD ON CODES					A Modern Ghost		https://music.youtube.com/browse/MPREb_CQOUd8QyMZQ	https://music.youtube.com/watch?v=
EXtended Play Vol.01		ACCORD ON CODES					EXtended Play Vol.01		https://music.youtube.com/browse/MPREb_08Tp4dM9wQU	https://music.youtube.com/watch?v=
a Lack Unity Plastic... 2		Unity-Gain					a Lack Unity Plastic... 2		https://music.youtube.com/browse/MPREb_XNtRPt8EBpR	https://music.youtube.com/watch?v=
a Lack Unity Plastic...		Unity-Gain					a Lack Unity Plastic...		https://music.youtube.com/browse/MPREb_95oJwvsqviE	https://music.youtube.com/watch?v=
Perfume Of Silence		IRON ATTACK!					Perfume Of Silence		https://music.youtube.com/browse/MPREb_mpK2QnfkvSn	https://music.youtube.com/watch?v=
Symphonic Night		DREAMERS GARDEN					Symphonic Night		https://music.youtube.com/browse/MPREb_KwhGPhyOGPI	https://music.youtube.com/watch?v=
TOHO EURO SPLASH 1		CrazyBeats					TOHO EURO SPLASH 1		https://music.youtube.com/browse/MPREb_yTR7EqEJ8O5	https://music.youtube.com/watch?v=
Romantic Travelers -DEMO-		Bullet IX					Romantic Travelers -DEMO-		https://music.youtube.com/browse/MPREb_fyUv5zhY1Ud	https://music.youtube.com/watch?v=
RETURNER -DEMO-		Bullet IX					RETURNER -DEMO-		https://music.youtube.com/browse/MPREb_3e3xCRdcywN	https://music.youtube.com/watch?v=
Stardust Dreams 10th Anniversary Tribute		領域ZERO					Stardust Dreams 10th Anniversary Tribute		https://music.youtube.com/browse/MPREb_gn5NW1pungQ	https://music.youtube.com/watch?v=
Re:Raise QUINTUPLE		魂音泉					Re:Raise QUINTUPLE		https://music.youtube.com/browse/MPREb_84jSONVd8Vy	https://music.youtube.com/watch?v=
東方猫鍵盤20		豚乙女					東方猫鍵盤20		https://music.youtube.com/browse/MPREb_KvOf5Xsr5I3	https://music.youtube.com/watch?v=
少女煉獄第伍巻		豚乙女					少女煉獄第伍巻		https://music.youtube.com/browse/MPREb_zCYmYvv3s6e	https://music.youtube.com/watch?v=
似非葬列指南		豚乙女					似非葬列指南		https://music.youtube.com/browse/MPREb_MCLwdR8RFni	https://music.youtube.com/watch?v=
A lot of Questions		荒御霊					A lot of Questions		https://music.youtube.com/browse/MPREb_gHInEARMqGd	https://music.youtube.com/watch?v=
ESCAPE FROM WEST		東方事変					ESCAPE FROM WEST		https://music.youtube.com/browse/MPREb_Hs2a6ChO3ZU	https://music.youtube.com/watch?v=
拈華微笑		東方事変					拈華微笑		https://music.youtube.com/browse/MPREb_AcslwWO2fq3	https://music.youtube.com/watch?v=
解体少女、ロンリーデーズ		東方事変、N+					解体少女、ロンリーデーズ		https://music.youtube.com/browse/MPREb_ALgKf7IYuQY	https://music.youtube.com/watch?v=
KILLOVE FIREPROOF!		暁Records					KILLOVE FIREPROOF!		https://music.youtube.com/browse/MPREb_8EO2ZGh63cn	https://music.youtube.com/watch?v=
少女救世論		暁Records					少女救世論		https://music.youtube.com/browse/MPREb_zHqHz9M4ZFY	https://music.youtube.com/watch?v=
Sci-Fi ROMANCE TRAVELER		暁Records					Sci-Fi ROMANCE TRAVELER		https://music.youtube.com/browse/MPREb_uDr4Zl5cHtR	https://music.youtube.com/watch?v=
LIMITED SINGLES season1		暁Records					LIMITED SINGLES season1		https://music.youtube.com/browse/MPREb_RtVVMmLNPfi	https://music.youtube.com/watch?v=
Metamorphosis		暁Records					Metamorphosis		https://music.youtube.com/browse/MPREb_UWy52oocqa0	https://music.youtube.com/watch?v=
Money Money		暁Records					Money Money		https://music.youtube.com/browse/MPREb_wC1AHD35IEB	https://music.youtube.com/watch?v=
オマケベストなのか～その①		暁Records					オマケベストなのか～その①		https://music.youtube.com/browse/MPREb_DV46jLscxYn	https://music.youtube.com/watch?v=
Shout It Out Loud!!!		暁Records					Shout It Out Loud!!!		https://music.youtube.com/browse/MPREb_SyHLLpwtmD0	https://music.youtube.com/watch?v=
LIMITED SINGLES season2		暁Records					LIMITED SINGLES season2		https://music.youtube.com/browse/MPREb_qK9HNMYzidE	https://music.youtube.com/watch?v=
STILL HERE		暁Records					STILL HERE		https://music.youtube.com/browse/MPREb_gLIVffxC2YA	https://music.youtube.com/watch?v=
天地上乗有頂天		暁Records					天地上乗有頂天		https://music.youtube.com/browse/MPREb_iTK9CQX7BAT	https://music.youtube.com/watch?v=
太陽の花 -Eternal Summer-		暁Records					太陽の花 -Eternal Summer-		https://music.youtube.com/browse/MPREb_6nDAFauUkGS	https://music.youtube.com/watch?v=
HANIPAGANDA		暁Records					HANIPAGANDA		https://music.youtube.com/browse/MPREb_JyXVVnYSwRc	https://music.youtube.com/watch?v=
オマケベストなのか～その②		暁Records					オマケベストなのか～その②		https://music.youtube.com/browse/MPREb_qYmHSBNOFy1	https://music.youtube.com/watch?v=
BloodDark/KARMANATIONS		暁Records					BloodDark/KARMANATIONS		https://music.youtube.com/browse/MPREb_5sccZ1nXMri	https://music.youtube.com/watch?v=
CRIMSON -クリムゾン-		彩音 〜xi-on〜					CRIMSON -クリムゾン-		https://music.youtube.com/browse/MPREb_eV7MlKDSTXO	https://music.youtube.com/watch?v=
Girs Logic Rock Show Vol.2		少女理論観測所					Girs Logic Rock Show Vol.2		https://music.youtube.com/browse/MPREb_40br95HocIi	https://music.youtube.com/watch?v=
Black/White		少女理論観測所					Black/White		https://music.youtube.com/browse/MPREb_fAigoWYOitc	https://music.youtube.com/watch?v=
オーケストラ古匿集 vol. 1		外柿山					オーケストラ古匿集 vol. 1		https://music.youtube.com/browse/MPREb_OJSzrfvxyMR	https://music.youtube.com/watch?v=
クライア・クライア		マッコ屋					クライア・クライア		https://music.youtube.com/browse/MPREb_PbKrxZ2FoM5	https://music.youtube.com/watch?v=
豫 -カタドルミライ-		マッコ屋					豫 -カタドルミライ-		https://music.youtube.com/browse/MPREb_akpEWpn9pyi	https://music.youtube.com/watch?v=
Arrange Mutation		Jerico					Arrange Mutation		https://music.youtube.com/browse/MPREb_q6VVCNR8WqS	https://music.youtube.com/watch?v=
Paradise Expression		Jerico					Paradise Expression		https://music.youtube.com/browse/MPREb_EyuU4KlOim1	https://music.youtube.com/watch?v=
Different Fusion		Jerico					Different Fusion		https://music.youtube.com/browse/MPREb_8ntOHPag46d	https://music.youtube.com/watch?v=
Classic Captain		アベニュールーム					Classic Captain		https://music.youtube.com/browse/MPREb_MY95aPgduvH	https://music.youtube.com/watch?v=
CURTAINS IN DUSK		ZYTOKINE					CURTAINS IN DUSK		https://music.youtube.com/browse/MPREb_AdodQapyNQb	https://music.youtube.com/watch?v=
白にも黒にもなれない君へ		ZYTOKINE					白にも黒にもなれない君へ		https://music.youtube.com/browse/MPREb_4uRRCP8Zx0o	https://music.youtube.com/watch?v=
今夜、少女じゃいられない		TaNaBaTa					今夜、少女じゃいられない		https://music.youtube.com/browse/MPREb_V43GXtQytIG	https://music.youtube.com/watch?v=
